symbol,date,open,high,low,close,usd_volume,base_volume,usd_volume_mil
1INCH,2025-04-19,0.170664417864058,0.175806800716575,0.170545632339878,0.175436587033713,6064688.67329706,35036383.8617197,6.064688673297059
1INCH,2025-04-20,0.175436587033713,0.176603533735995,0.169213719787584,0.174014427615393,6668090.31619533,38442447.7144927,6.66809031619533
1INCH,2025-04-21,0.174014427615393,0.180823783664927,0.173481290460974,0.174033994323439,10869812.7687498,61408372.8063627,10.8698127687498
1INCH,2025-04-22,0.174033994323439,0.185277458097741,0.171321112853043,0.184636040433788,13720812.0278773,76898219.4923895,13.7208120278773
1INCH,2025-04-23,0.184636040433788,0.190546553713368,0.183739334138703,0.189762244558365,14681944.6950159,78134611.2142058,14.6819446950159
1INCH,2025-04-24,0.189762244558365,0.191218765536615,0.181688499563488,0.191130879813118,12652113.7894566,67620823.4156571,12.6521137894566
1INCH,2025-04-25,0.191130879813118,0.196857665190342,0.188342840431921,0.195402526450558,15170265.3759735,78433635.1087688,15.1702653759735
1INCH,2025-04-26,0.195402526450558,0.205384371761532,0.195195234440985,0.205103587880939,23238005.8001397,116487566.730909,23.2380058001397
1INCH,2025-04-27,0.205103587880939,0.206228345095969,0.197233261565405,0.200082541309112,22953614.329097,115057021.38367,22.953614329097
1INCH,2025-04-28,0.200082541309112,0.209030638955159,0.199281235814042,0.204502840202372,22384469.3893047,109664630.872364,22.3844693893047
1INCH,2025-04-29,0.204502840202372,0.216467536911246,0.20320493353293,0.206426386106481,23244876.358074,111237605.03296,23.244876358074
1INCH,2025-04-30,0.206426386106481,0.209761757585654,0.198924293565226,0.206639365340765,11734446.545133,57311788.1155839,11.734446545133
1INCH,2025-05-01,0.206639365340765,0.213776866159064,0.206475925103967,0.209048483636528,11215112.3478793,53404861.5488507,11.2151123478793
1INCH,2025-05-02,0.209048483636528,0.210849163244624,0.205465930381036,0.209870287648198,10912684.578411,52407940.9474602,10.912684578411
1INCH,2025-05-03,0.209870287648198,0.210272449381443,0.197242728687843,0.198418986912887,7859713.03152181,38768826.3987269,7.85971303152181
1INCH,2025-05-04,0.198418986912887,0.200396944893587,0.192770205165912,0.193469621337251,9765436.10118623,49787496.7308437,9.76543610118623
1INCH,2025-05-05,0.193469621337251,0.19815322950404,0.190368920779345,0.195824862053447,9654175.64687064,49710224.8451153,9.65417564687064
1INCH,2025-05-06,0.195824862053447,0.196910093860768,0.182236835604703,0.189148254288974,12357819.9816313,65437312.180186,12.3578199816313
1INCH,2025-05-07,0.189148254288974,0.192491169676249,0.185776585564997,0.190037742083272,9393011.7348784,49653270.2308114,9.3930117348784
1INCH,2025-05-08,0.190037742083272,0.220058868781208,0.189719987821749,0.219901805587999,23031484.621936,112281547.267143,23.031484621936002
1INCH,2025-05-09,0.219901805587999,0.236364064639896,0.218025219093377,0.22767114146665,32881481.6969666,145254441.940917,32.8814816969666
1INCH,2025-05-10,0.22767114146665,0.245059612129331,0.224864121334101,0.244399673956581,22598947.184394,97761061.6223662,22.598947184394
1INCH,2025-05-11,0.244399673956581,0.245562627781349,0.228395935512607,0.234226890923201,17446201.0813785,74242606.2825117,17.4462010813785
1INCH,2025-05-12,0.234226890923201,0.244560297330204,0.223956899483772,0.234787757170897,23373653.9651912,99335822.6139639,23.3736539651912
1INCH,2025-05-13,0.234787757170897,0.248251926578608,0.22273662981194,0.247005280461238,20455181.5737862,86793688.0043445,20.4551815737862
1INCH,2025-05-14,0.247005280461238,0.250444162733593,0.233802990493569,0.236346520757213,21170369.1690394,87921112.416218,21.170369169039397
1INCH,2025-05-15,0.236346520757213,0.239352335145987,0.220938933838775,0.227158393771414,21594220.9481298,94302139.498246,21.5942209481298
1INCH,2025-05-16,0.227158393771414,0.237056744159944,0.224242845665252,0.226017867927897,15720339.4398585,67758553.7595011,15.7203394398585
1INCH,2025-05-17,0.226017867927897,0.226618457199797,0.212435051122703,0.214645978369509,14279384.2726704,65531913.1895138,14.279384272670399
1INCH,2025-05-18,0.214645978369509,0.23030377956822,0.213454440066567,0.226592211910228,15824827.6337016,71421472.3875998,15.8248276337016
1INCH,2025-05-19,0.226592211910228,0.22796849451829,0.208686652136905,0.226244179939646,17235797.2463296,79411670.7440974,17.2357972463296
1INCH,2025-05-20,0.226244179939646,0.233600241477707,0.217762501418817,0.22560052798003,14646133.1182446,65277547.1057013,14.646133118244599
1INCH,2025-05-21,0.22560052798003,0.236997022043205,0.223324711655454,0.230801151335886,19871028.7331579,86819336.7614963,19.8710287331579
1INCH,2025-05-22,0.230801151335886,0.243770579844817,0.230800700750496,0.242048530016908,17352994.4430603,72572937.8300449,17.3529944430603
1INCH,2025-05-23,0.242048530016908,0.246786040715048,0.223365401637673,0.224688811984894,25126287.3474869,107083602.802366,25.126287347486898
1INCH,2025-05-24,0.224688811984894,0.23252567595733,0.224046031065703,0.228431370532788,10921180.4523301,47776693.6828178,10.9211804523301
1INCH,2025-05-25,0.228431370532788,0.229229595541525,0.218245046428741,0.22648558724733,12822173.3380002,57646116.7828822,12.822173338000201
1INCH,2025-05-26,0.22648558724733,0.232060226860863,0.22560102525464,0.228751227066633,12445201.4983749,54361324.8591069,12.4452014983749
1INCH,2025-05-27,0.228751227066633,0.239790124601167,0.223707632723428,0.235586182023103,16997211.8618983,72565493.1029375,16.9972118618983
1INCH,2025-05-28,0.235586182023103,0.238841845532782,0.228216207218248,0.235707581682197,11779549.0864658,50426599.445953,11.779549086465801
1INCH,2025-05-29,0.235707581682197,0.244177467631921,0.233176457932408,0.23471833904446,21512268.7431663,89848477.3646681,21.512268743166302
1INCH,2025-05-30,0.23471833904446,0.236672416832827,0.208107511173775,0.208451447946569,21783128.5946865,98240110.9044617,21.783128594686502
1INCH,2025-05-31,0.208451447946569,0.21142243562357,0.200296874474722,0.208510169055052,15623398.8042519,76120717.4043304,15.6233988042519
1INCH,2025-06-01,0.208510169055052,0.212474803775146,0.204203263808613,0.211780580575101,7299709.10684311,35019327.9445214,7.29970910684311
1INCH,2025-06-02,0.211780580575101,0.218707838373941,0.203616301512035,0.218228455646229,10970339.8565885,52305036.0821744,10.970339856588499
1INCH,2025-06-03,0.218228455646229,0.222153634336027,0.213893223630942,0.21746859696488,12127772.6173898,55590930.4633783,12.1277726173898
1INCH,2025-06-04,0.21746859696488,0.222097770989633,0.210034471767326,0.210952105493383,10981873.8830968,50622149.0744398,10.9818738830968
1INCH,2025-06-05,0.210952105493383,0.214055049593914,0.194180144542561,0.195068816896141,17053027.1031077,82862278.917329,17.0530271031077
1INCH,2025-06-06,0.195068816896141,0.202977185030156,0.193127514636751,0.196380740851139,12473103.9014795,63069801.405114,12.473103901479499
1INCH,2025-06-07,0.196380740851139,0.207161686765272,0.195750629485928,0.205810662209873,7170477.44761949,35208761.0127692,7.17047744761949
1INCH,2025-06-08,0.205810662209873,0.207290473982012,0.202238512429669,0.20346180082461,7065641.22251709,34514940.4569013,7.0656412225170895
1INCH,2025-06-09,0.20346180082461,0.215278749600705,0.19967475780716,0.214743831593544,11203014.7180794,54430102.4374884,11.2030147180794
